Distributor Segmentation,,,,,,,Customer Segmentation,,,,,,,Rep Performance & Incentive Compensation,,,,,,,,,Year-over-Year Growth by Market,,,,,
Distributor,Total Sales,Rank,Cumulative %,Segment,,,Customer Name,Country,Channel,Total Sales,Rank,Segment,,Rep,Manager,Team,Total Sales,Segment,Target,Attainment %,Payout Tier,,Country,2018,2019,2020,2019 Growth %,2020 Growth %
Gerlach LLC,3501834439,1,0.296791093,A - Strategic,,,Gibson-Hill,Germany,Pharmacy,18790176,91,Standard Account,,Anne Wu,Britanny Bold,Delta,920168302,Core,828151471.8,1.111111111,Tier 2 - 10%,,Germany,2826017552.00,2930937133.00,2659672415.00,0.04,-0.09
Koss,3087827344,2,0.558493829,A - Strategic,,,McCullough LLC Pharmaceutical Ltd,Germany,Pharmacy,26009596,29,Growth Account,,Sheila Stones,Britanny Bold,Delta,958203898,Top Performer,862383508.2,1.111111111,Tier 2 - 10%,,Poland,680879802.00,0.00,0.00,-1.00,N/A
Erdman,1522609942,3,0.687539641,A - Strategic,,,Barrows Inc Pharmaceutical Limited,Germany,Pharmacy,18879087,88,Standard Account,,Jessica Smith,Britanny Bold,Delta,881698369,Core,793528532.1,1.111111111,Tier 2 - 10%,,,,,,,
Kozey-Emmerich,1232931956,4,0.792034365,B - Core,,,Buckridge-Davis Pharmaceutical Ltd,Germany,Pharmacy,17481679,122,Standard Account,,Mary Gerrard,Britanny Bold,Delta,875270763,Developing,787743686.7,1.111111111,Tier 2 - 10%,,,,,,,
Welch-Langworth,260632404,7,0.881445903,B - Core,,,Kreiger Inc,Germany,Pharmacy,15567095,157,Standard Account,,Alan Ray,James Goodwill,Alfa,842637242,Developing,758373517.8,1.111111111,Tier 2 - 10%,,,,,,,
Rohan and Sons,142511996,10,0.925981638,C - Long Tail,,,Huels-Klein,Germany,Pharmacy,23946371,40,Growth Account,,Erica Jones,James Goodwill,Alfa,871372192,Developing,784234972.8,1.111111111,Tier 2 - 10%,,,,,,,
Crist Inc,45056475,18,0.986693032,C - Long Tail,,,Gerlach LLC Pharmacy,Germany,Pharmacy,18156445,105,Standard Account,,Thompson Crawford,James Goodwill,Alfa,866964886,Developing,780268397.4,1.111111111,Tier 2 - 10%,,,,,,,
Daugherty-Rempel,232130233,8,0.901119645,C - Long Tail,,,"Nolan, DuBuque and Schultz Pharmacy",Germany,Pharmacy,18873464,89,Standard Account,,Steve Pepple,Tracy Banks,Bravo,875449983,Developing,787904984.7,1.111111111,Tier 2 - 10%,,,,,,,
Romaguera-Fay,444992505,5,0.829748829,B - Core,,,Mraz Group Pharmaceutical Limited,Germany,Pharmacy,20423132,73,Standard Account,,Abigail Thompson,Tracy Banks,Bravo,981056993,Top Performer,882951293.7,1.111111111,Tier 2 - 10%,,,,,,,
Gleason,138618444,11,0.937729972,C - Long Tail,,,Kertzmann-Ward Pharmaceutical Limited,Germany,Pharmacy,23151949,45,Growth Account,,Morris Garcia,Tracy Banks,Bravo,901195483,Core,811075934.7,1.111111111,Tier 2 - 10%,,,,,,,
Lockman,95983327,14,0.966888874,C - Long Tail,,,Haley PLC Pharmacy,Germany,Pharmacy,23473886,42,Growth Account,,Daniel Gates,Alisha Cordwell,Charlie,950658635,Top Performer,855592771.5,1.111111111,Tier 2 - 10%,,,,,,,
Schaefer LLC,21830157,21,0.993529886,C - Long Tail,,,Hartmann-Wolf Pharmacy,Germany,Pharmacy,22818672,49,Growth Account,,Stella Given,Alisha Cordwell,Charlie,888340903,Core,799506812.7,1.111111111,Tier 2 - 10%,,,,,,,
Nader-Gaylord,27092064,20,0.991679713,C - Long Tail,,,Gleason PLC Pharma Plc,Germany,Pharmacy,18345826,101,Standard Account,,Jimmy Grey,Alisha Cordwell,Charlie,985969994,Top Performer,887372994.6,1.111111111,Tier 2 - 10%,,,,,,,
Bashirian-Kassulke,349340733,6,0.859356516,B - Core,,,"Hahn, Rutherford and Gislason Pharm",Germany,Pharmacy,12465536,191,Standard Account,,,,,,,,,,,,,,,,
Hansen Group Pharm,1171856,29,1,C - Long Tail,,,Purdy Ltd,Germany,Pharmacy,13411245,186,Standard Account,,,,,,,,,,,,,,,,
Lesch,13543966,24,0.997500186,C - Long Tail,,,Sauer-Herzog Pharmacy,Germany,Pharmacy,16994328,130,Standard Account,,,,,,,,,,,,,,,,
Rohan,31745727,19,0.989383579,C - Long Tail,,,Schuppe Inc,Germany,Pharmacy,18530700,92,Standard Account,,,,,,,,,,,,,,,,
Schuppe Inc,12624284,25,0.998570133,C - Long Tail,,,Powlowski-Buckridge Pharmacy,Germany,Pharmacy,25692654,30,Growth Account,,,,,,,,,,,,,,,,
Graham and Sons,15408356,23,0.996352294,C - Long Tail,,,Streich PLC,Germany,Pharmacy,44454616,2,Key Account,,,,,,,,,,,,,,,,
